Question,Answer,Title
Are swimming pools safe for beginners,Cult Play thrives on its experience of training thousands of non-swimmers through its curriculum-based teaching program. The infrastructure and the pedagogy are designed to make Cult Play operated pools a safe haven for our members to learn to swim in the safest environment possible.,Safety
What attire is needed to play at the facility,"The attire necessary for each sport is available on the app before you confirm your booking. Generally office/formal attire, shirts. jeans, chappals, sandals, trekking shoes, office shoes are strictly not allowed for any sports.",At the center
What does temperature control mean,A 'Temperature controlled ' or an 'All Weather' pool is where the water temperature is set to the level which is comfortable for learning swimming by children and adults around the year. This temperature generally lies between 27-29 degrees and primarily depends on the ambient air temperature at that time.,At the center
What do I get if I buy  Cult Transform?,"cult transform connects you with an expert Transform Coach (whatsapp + calls) who guides you through sustainable lifestyle changes to achieve your health goals which include fat loss, weight loss and getting fit. You also get unlimited access to cultpass Live online home workout & meditation sessions, a customised workout plan, nutrition guidance and daily reads on fitness & habits. Please note this does not include a gym membership.",About Transform
How do I check if I’m the right fit for this program?,"This is a program for people who are in the 18+ age group who need help in nutritional, workout & lifestyle guidance to lose excess weight in a healthy manner. The program does not require drastic changes to your current lifestyle. But it helps you adapt to a much healthier lifestyle to achieve a fitter version of you. But if you are already exercising consistently, maintain healthy eating habits OR if you want to work towards advanced fitness goals for competitive sport or body building, this program is not a good choice for you.",About Transform
Why are there only limited seats available?,"Our Transform Coaches want to give you the best experience. Keeping our circle small, instead of taking on too many clients, helps our coaches give their clients the attention and time they deserve.",About Transform
Are my personal details safe?,"Yes. Your Transform Coaches can reach out to you only through the official Cult.Transform channels, your number and email are not directly available to them. Any personal information and images you share with your coach are completely confidential. Your audio interactions with the coach are recorded only after your consent for quality & training purposes.",About Transform
Can I pause my membership?,"This program is designed to integrate into your lifestyle no matter what life throws at you. Your coach will be there to support you to make appropriate changes to your actions/habits. Therefore, there is no concept of pause.",About Transform
Can I Cancel my Transform Pack ?,"We do not offer refunds on canceled subscriptions at this time. To ensure that your Transform plan is the right fit for you, we encourage talking to our experts before finalising a plan.",About Transform
Is the Membership Transferable?,The membership is non-transferable. As it's designed to integrate into your lifestyle and is customized as per needs. So there is no concept of Transferring the pack.,About Transform
Do I get gym access with a Transform pack?,Transform program is an online personalised program curated based on your current lifestyle and goals with the help of your coach. The program is doable from anywhere making it easy to adapt with changing lifestyles.,About Transform
Will my Transform Coach be a chatbot?,"No. Your coach is a real human who is trained to give you nutrition and fitness guidance, help you with habit design, and support you every step of the way, while you create long lasting habits",Transform Coach
Why do I need a Transform Coach?,"Your Transform coach will break your big goals into small daily practices that add up to massive changes. As a result, you’ll progress toward your goals without ever feeling overwhelmed, and build habits that last a lifetime. They will remove the guesswork, and provide accountability and support at every step.",Transform Coach
Can I pick my Transform Coach?,"All our Transform coaches are Cult certified in fitness, nutrition and behavioral science. Allow us the pleasure of choosing the right coach for you. If you’re unhappy, you can always change your coach.",Transform Coach
Can I change my coach?,"Your Coach can be changed upon request. However, we would like you to know that it will take a while for you to see progress with any coach. If you still feel unhappy with your coach, please drop us a note through our support flow, and we will ensure it’s done. We will share any already updated information with your new coach only after we get your permission to do so.",Transform Coach
How often can I interact with my Transform Coach?,"With Cult.Transform, you get unlimited whatsapp chat with your Transform Coach. They are available from 9 am to 6 pm, 5 days a week. You can also schedule video calls with your coach once a week, for the duration of the program.",Transform Coach
What kind of results can I expect from the program?,"Holistic program yields weight/inch loss, healthy relationship with food, improved health/sleep/stress, mindful routines, better energy levels, boosted confidence as different forms of results",Cult Transform Plus
What do I get if I buy Cult Transform Plus?,"Cult Transform Plus connects you with 3 expert coaches for fitness, nutrition and lifestyle (whatsapp + calls) who help you lose weight and keep it off. You also get unlimited access to cultpass home, online home workout & meditation sessions, a progressive workout plan, bi-weekly meal plans and educational video content. Please note this doesn’t include a gym membership.",Cult Transform Plus
How many consults do I get with each expert ?,You get weekly consults with the lifestyle expert and bi-weekly consults with the fitness and nutrition expert. You can also stay in touch with them via chat.,Cult Transform Plus
Are my personal details safe?,"Yes. Your Transform Plus coaches can reach out to you through official channels, your email and phone number are not directly available to them. Any personal information and images you share with your coach are completely confidential. Your audio call with the coach are recorded only after your consent for quality & training purposes.",Cult Transform Plus
Can I pause my membership ?,"This program is designed to integrate into your lifestyle no matter what life throws at you. Your coaches will be there to support you to make appropriate changes that suit your situation. Therefore, there is no concept of pause.",Cult Transform Plus
What do I get if I buy Cult Transform?,"At Transform Plus, we connect you with three expert Coaches – a Nutritionist, a Fitness Trainer, and a Mindset Coach – to support you in making sustainable lifestyle changes towards your weight loss goals. You'll receive personalized diet and workout plans, along with sessions with your Mindset Coach, who serves as an accountability partner and provides additional support in sleep and stress management to help you achieve your health goals.",Cult Transform Plus
What is Bootcamp?,"Bootcamp is a fitness and nutrition programme designed specifically from a weight loss and weight management perspective. This program offers a Nutritionist, a Fitness coach and a private community of members from your batch who will motivate you to reach your weight loss goals.",Cult Bootcamp
How is Cult Bootcamp different from Cultpass Elite?,"This program focuses on 4 main elements to ensure that everyone reaches their weight loss goal in a super-efficient way. 1) Nutrition Each one of you will be assigned a nutritionist a week before the program kickstarts. The nutritionist will then check in with you every week to discuss what’s working/what’s not and will alter your plan accordingly. Your nutritionist will also ask you to share pictures of your meals on a daily basis via WhatsApp to keep you on track. 2) Fitness Coach You will have a fitness expert who will conduct your group workouts, correct your posture and track your progress. All of our workouts are designed to help you lose weight and are different from a regular Cult session. There are online workouts on the app and step challenges to keep you active and consistent even on days when you don’t have an in-center session. 3) Workshops & maintenance plans We organise online weekend workshops, led by our master trainers & experts on Nutrition, Mindfulness and Movement. A comprehensive & easy-to-follow maintenance plan will be shared in the last week to help you maintain your weight. 4) Community Every Bootcamp batch will be conducted with a small group of people, all of whom have a goal similar to yours & are willing to give it their all. This also means that you get to go on a transformative journey with them by your side, getting inspired and inspiring each other in return. We’ll also keep you all connected over a WhatsApp group where you can push one other to achieve your goals!",Cult Bootcamp
How do I ensure maximum results?,"Consistency is the key here! ✅ Maintain at least 80% attendance ✅ 7000 steps daily ✅ Share 2 images of your meals daily with your nutritionist They'll guide and support you in your journey of being better every day, but your commitment and dedication is the game changer!",Cult Bootcamp
Will the classes be at the center?,"Offline classes will happen on Monday, Wednesday and Friday. Tuesday and Thursday the coach will give you a plan to be followed at home. Saturday will be an online master class.",Cult Bootcamp
Will I have the same trainer or nutritionist throughout the weight loss program?,"Absolutely! You'll have the same coach throughout your journey. In case there are changes citing a personal emergency or operational requirements that result in changes in the assigned coach, the newly assigned coach will be equally qualified and experienced to support you with your transformation journey - we promise!",Cult Bootcamp
What if I join late?,"We recommend that you start the programme from the start date. However, due to any reason if you are unable to start the Bootcamp a week’s delay can be managed.",Cult Bootcamp
What if I am not available for a few sessions?,"Even though it is not good to miss sessions, we recommend you keep your fitness trainer informed in advance to plan other activities to meet daily activity goals.",Cult Bootcamp
Can I change my time slot?,"Unfortunately, we don’t allow you to change your time slot since that will make it difficult for your trainer and nutritionist to track your progress since we want to have the same set of members as a part of one batch. In case there is an emergency or an unavoidable circumstance, please get in touch with us and we shall look into the matter and help out. Please note that we cannot guarantee slot change as it’s also subject to the availability of slots.",Cult Bootcamp
Am I allowed to change my center?,"Unfortunately, we don’t allow you to change your centre since your trainer and nutritionist are mapped to your parent center and hence will make it difficult for us to track your progress. In case there is an emergency or an unavoidable circumstance, we understand that. Just get in touch with us by messaging on this number - 9019745438  and we shall look into the matter and help out. Please note that we cannot guarantee center change as it’s also subject to availability of slots.",Cult Bootcamp
Who is this for?,Advanced strength users / Super users - Ideally users who have attended minimum 2 S&C/HRX sessions a week for 6 consecutive weeks Members who want to improve their strength Members who want to learn to lift better,Lift
How is LIFT different from S&C/HRX classes?,"The S&C/ HRX classes are designed in a way where we train the entire body for Strength & conditioning and Hypertrophy (muscle building) respectively and will have overall less impact on Absolute strength on certain Lifts. In lift, we focus on compound movements to enhance an individual's performance by the end of the program - this includes maximum weight, better posture, improved techniques etc These sessions also aim to provide more personalisation to help reach the strength goals.",Lift
What happens during the duration of the program?:,Total of 12 sessions spread over 6 weekends (including pre & post 1 RM testing) Each session is 90 mins (75-90 mins workout + 15 mins interaction) Timings - 11am-12:30pm every Sat/Sun Note : trainers will remain constant throughout the program (maximum 2 trainers),Lift
Do I need to attend both sessions on weekends?,"Yes, as the entire focus is to increase performance both days will have carry over to the compound lifts. This has been proven with our previous Lift participants.",Lift
What should I do on other days?,"We will guide you through the entire 6 week program week by week. Suggestions for GX classes and workouts in the gym will be suggested. Trainers will recommend other sessions to be done, generic nutrition advice, etc",Lift
What if I cannot attend for a few days in between?,"First, we expect you to attend all the sessions for tangible results, but if due to unavoidable circumstances you can not attend, we will provide you with the alternative exercises based on your feasibility.",Lift
Can I do other sessions on days I do lift classes?,LIFT sessions are specifically designed to uplift your lifting potential and can not be alternated with any other sessions. Doing additional sessions on these days could lead to over fatigue.,Lift
Can I register if I have an injury?,"Yes, one can register and take this program unless one is currently undergoing medical rehabilitation. If you have any past history as such, keep your trainer informed and seek tailored customization in your program.",Lift
How does the referral program work?,"Our referral program is a great way for you to share the benefits of our cult bootcamp with your friends. When you sign up for the program, you will receive a unique referral link. Simply share this link with your friend, and when they use it to purchase the cult bootcamp, they will receive a discount of Rs. 750.",Cult Bootcamp referrals
How can I track the status of my referrals?,"Tracking the status of your referrals is easy. You can simply visit the ""All Referrals"" page on our website, where you will find all the information you need.",Cult Bootcamp referrals
Can I use the referral discount on multiple orders?,"The referral discount of Rs. 1000 can be used only once, specifically on your first CultSport purchase. Unfortunately, it cannot be split across multiple orders. So make sure to maximize the benefit by adding all the desired products to your cart before checking out.",Cult Bootcamp referrals
Is the referral discount transferable?,"No, the referral discount is non-transferrable. It is exclusively meant for your personal use and should not be resold or redeemed for cash. We have implemented this policy to ensure fair usage of the program and to prevent any misuse.",Cult Bootcamp referrals
Who is eligible to participate in the referral program?,"Our referral program is open to both new and existing customers. If you have previously purchased the cult bootcamp, you are eligible to refer your friends. Additionally, if your friends have not used the cult bootcamp referral discount before, they are also eligible to receive the discount.",Cult Bootcamp referrals
Can the referral discount be revoked or modified?,"While we do not anticipate any changes, we want to inform you that Cult.Fit reserves the right to modify or revoke the referral discount at any point in time. However, we will always strive to communicate any such changes in advance and ensure a fair experience for all our customers.",Cult Bootcamp referrals
What is a Nutrition Coach program?,"Our customised Nutrition Coach program caters to individuals seeking guidance mainly in weight loss/Fat loss goals. However, we also support Sports and Exercise nutrition, muscle gain/body recomposition, pre and postnatal nutrition, and women's health addressing conditions like PCOD/Thyroid. Additionally, we provide General nutrition consultations for those aiming to enhance their overall lifestyle. If your goal is anything other than weight loss, please specify upon registration to ensure you receive personalized guidance and a customized diet plan tailored to your specific objectives.",Nutrition Coach
Can I join the nutrition Coach program if I have a medical condition?,"If you have lifestyle conditions such as Type 2 Diabetes, Hypothyroidism, hypertension, PCOS/PCOD, Hyperuricemia (High Uric Acid), or gut-related issues like GERD/Acid reflux, Irritable bowel syndrome, Inflammatory bowel disease you're welcome to join the nutrition Coach program. However, we kindly ask for a clearance certificate from your physician to participate in the activities and adhere to the prescribed diet plan. For clinical conditions such as Cancer, Autoimmune disorders, and Kidney-related diseases, our program may not be suitable for managing or improving your condition, as it is primarily designed for weight loss. If you've already purchased a membership, please contact the support team for further assistance and details.",Nutrition Coach
Will I have the same nutritionist if I purchase a 3/6/12 months pack?,"We will assign the same nutritionist specialised to address the condition as per your membership. However, in case your primary nutritionist is not available due to a personal emergency or any other operational constraints,  we will assign an equally qualified and experienced coach to support you with your transformation journey - we promise!",Nutrition Coach
What is the mode of communication with the nutritionist?,"You can pre-book your video consultations with your nutritionist based on the calendar availability and your membership. Additionally, the nutritionist will be accessible via WhatsApp chat during their business hours to address any queries or concerns you may have.",Nutrition Coach
Can I transfer my membership to another person?,The nutrition coach program is a non-transferable product. Consultations and services must be utilized within the specified expiry date mentioned in your membership agreement.,Nutrition Coach
Is there any eligibility criteria for registering for a Nutrition coach program?,"This programme is not suitable for any person recovering from a serious injury / medical or health condition. Please consult your physician before enrolling on this program. You are required to inform us of your medical and other health concerns on an ongoing basis. If you have any severe medical conditions that require specific dietary guidelines then, please reach out to us at hello@cult.fit before purchasing the membership.",Nutrition Coach
What is the primary focus and scope of the Nutrition Consultation program?,"This program is not aimed at curing or treating any specific disease, medical condition, or ailment. Consultations provided by the Nutritionist are based on nutritional and lifestyle recommendations and do not replace the expertise of qualified healthcare professionals.",Nutrition Coach
Can I ask for a coach change?,"Absolutely! We understand the importance of finding the right fit with your coach to maximize your progress and satisfaction with the program. If you feel that a different coach would better align with your needs and preferences, please don't hesitate to reach out to our support team, and we'll be happy to assist you in making the change.",Nutrition Coach
What is Fitness Coach product?,"Our online Fitness Coach program delivers small group training sessions(SGTs), and customized home workout plans to meet your goals. With home workout plans for convenience and gym-specific plans for those with access, our program caters to all. We provide weekly progress tracking and feedback, coupled with new, challenging workout plans every two weeks, ensuring continuous motivation and progress. Our coaches excel in accommodating injuries and movement limitations, crafting personalized plans tailored to your needs. With online chat support available at your convenience, guidance and encouragement are always within reach on your online fitness journey.",Fitness Coach
Is my purchase refundable?,"Our fitness coach program is not refundable. However, our commitment is to ensure your satisfaction with our service. If you have any concerns, our dedicated support team is here to assist you every step of the way.",Fitness Coach
Can I transfer my sessions to someone else?,Fitness Coach program is a non-transferable. Consultations and services must be utilized within the specified expiry date mentioned in your membership agreement.,Fitness Coach
Will I have the same trainer if I purchase a Fitness Coach Program?,"We will assign the same trainer specialised to address the condition as per your membership. However, in case your primary trainer is not available due to a personal emergency or any other operational constraints,  we will assign an equally qualified and experienced trainer to support you with your transformation journey - we promise!",Fitness Coach
How do I book my fitness consultation sessions?,"You can pre-book your consultation sessions with your trainer based on the calendar availability and your membership. Please remember that these consultations are not personal training sessions.  Additionally, the trainer will be accessible via WhatsApp chat during their business hours to address any queries or concerns you may have.",Fitness Coach
What if I get injured during any of the sessions?,"Your safety is our top priority. Our certified trainers are well-equipped to guide you through exercises safely. In the rare event of an injury, we have protocols in place to address the situation promptly. Please inform your trainer immediately if you experience any discomfort during the Small group training session.",Fitness Coach
Can I trust the effectiveness of online fitness coaching sessions?,"Absolutely! Our online fitness coaching program is designed to deliver results efficiently. With personalized workout plans, real-time feedback, and continuous support from your trainer, you'll experience the same level of effectiveness as in-person sessions, if not better.",Fitness Coach
What is the primary focus and scope of the Fitness Coach program?,"Our fitness Coach program is tailored to enhance your overall fitness and well-being. It is important to note that our program is not intended to diagnose, treat, or cure any specific medical conditions. While our trainers provide guidance on exercise routines and lifestyle recommendations, their expertise complements but does not substitute for the advice of qualified healthcare professionals and physical therapists.",Fitness Coach
How soon can I start seeing results?,"Your journey to fitness is unique, and results may vary based on various factors such as commitment, consistency, and individual differences. However, with our personalized approach and expert guidance, many clients start noticing positive changes in their strength, endurance, and overall well-being within a few weeks. Stay dedicated, and you'll be amazed at what you can achieve with our support.",Fitness Coach
What is a cultpass Home?,"cultpass Home gives you unlimited access to all at Home sessions and DIY (on demand) sessions. This includes unlimited access to fitness, dance, meditation, health video content and podcasts. A cultpass Home member has an all access pass to celebrity masterclasses, ability to workout with friends and track their energy scores, and  monitor their progress in the form of reports. You can purchase the membership through the official cult.fit website or on the android app.",cultpass Home
What are the different options available with cultpass Home?,"cultpass Home gives you full access to at home and on-demand content on the app/website. We have options of different durations available, you can check the latest offers and prices on the app/website by clicking on the 'At home' tab, and then clicking on the 'Become a member' option.",cultpass Home
Are there any trial sessions for cultpass Home? Where can I check my eligibility?,"Every user can initiate a 7-day free trial by starting any At home, or on-demand video in Fitness or Mindfulness tabs under the 'At home' section. Any user who hasn’t explicitly started their free trial is free to do so. Once you start your trial, the remaining days of the free trial will be indicated on your schedule page as well as your At home page.",cultpass Home
What are the services accessible to a cultpass Home member?,"cultpass Home gives you unlimited access to all Digital At home classes and DIY (on demand) sessions across. This includes unlimited access to fitness, dance, meditation, cooking and health video content and podcasts. A member has an all access pass to celebrity masterclasses, ability to workout with friends and track their energy scores, and monitor their progress in the form of reports. cultpass Home does not include online therapy consultations as well as non digital offerings of cult.fit.",cultpass Home
Can I upgrade my Cultpass Home membership after purchase to a pack of a longer duration?,"You can upgrade your next subscription to be one of a longer duration. For example, if you purchase a 3 month auto-renewable subscription on your ios device, picking ‘upgrade’ will ensure that the next subscription at time of renewal will be of the longer duration that you choose. You would not be able to upgrade the current membership.",cultpass Home
"If I buy the cultpass Home on one device, can I use it on another device?","Yes, if you login with your same credentials, you can use cultpass Home on other devices. However, you can not stream a class at the same time on more than one device.",cultpass Home
Can I cancel cultpass Home subscription after purchase?,"An already purchased subscription can not be canceled. However, if you’re facing issues with your subscription, you can reach out to customer support to try and fix the same. If your subscription is an auto-renewing subscription, you can always cancel future renewals from the App Store and the amount will not be deducted in the upcoming billing cycle.",cultpass Home
What are At-Home Classes?,"At-home classes let you experience the energy of a group fitness class, led by star trainers from the comfort of your home. We currently offer At- classes across fitness formats like Cardio, HRX, Strength & Conditioning, and Yoga across all 7 days of the week. To make the most of these classes, we recommend using the Energy Meter feature that will give real-time feedback on your workout and help you compete with others working out with you.",At-home Classes
"I’m new to working out, are At-home classes safe for beginners like me?","At-home classes are tagged basis levels - beginner, intermediate and advanced. In case you are suffering through an injury, chronic pain or medical condition, we recommend checking with a medical expert before attending At-home classes.",At-home Classes
Can anyone else watch me or record my camera footage?,Not at all. We understand and respect your privacy which is why no one but you can see your camera footage - not even us! We do not store or use any of your camera footage.,At-home Classes
What are the types of workouts featured in At-home classes?,"Most of our workouts are no-equipment routines across fitness formats like strength, cardio, yoga, HRX and more. We recommend you wear comfortable shoes and keep a napkin and water bottle handy.",At-home Classes
What platforms can I watch At-home classes on?,You can watch the At-home classes on your mobile devices. Any device which has more than 2 GBs of RAM is good enough to stream the sessions. You can also stream the session on the desktop and mirror the session on your TV screen using a chrome-cast.,At-home Classes
Do I need an internet connection to attend a At-home class?,"Yes, you need an internet connection to use At-home classes. We recommend a minimum 2 MBps connection for the best viewing experience. You will also need to ensure that your device is adequately charged and you have good network connectivity to attend At-home Classes",At-home Classes
How do I book my spot for a At-home class?,"You can subscribe/book your At-home class from your cult.fit app on android and iOS or on the cult.fit website. You also have the option to join a class that is currently live without having booked it in advance. On the app, you can book it from the At-home Schedule Page At-home Page You can book your spot by tapping on the “Book” button. On subscribing to a class, you can schedule a reminder on your calendar to join the At-home class and attend our high-energy fitness classes from your home. You will be able to see your upcoming class on your HOME page. We’ll also remind you 30 mins before the session begins. We also recommend that you add the class to your Google Calendar or iCalendar app. You can see all the classes you’ve attended under the tab ""My profile"".",At-home Classes
How does the Energy Meter work?,"The energy meter will help you understand the effort you put into your workout. Book or join a session on ""workout at-home"" It requires your device’s camera permission to capture all your explosive movements to assign you an energy score which eventually lets you compete with other users in the class and get a rank at the end of the class.",Energy meter and Reports
Why do At-home classes require my camera access?,"At-home classes are best enjoyed when attended enabling the Energy Meter. The energy meter requires your device’s camera permission to capture all your explosive movements and assign you an energy score which, eventually, helps you get a rank at the end of the class. No one but you can see your camera footage, not even us - we promise!",Energy meter and Reports
How is Energy Score calculated?,The energy score is calculated based on the effort you put in your workout - higher the intensity and the effort you put higher the energy score - it is that simple!,Energy meter and Reports
Is the Energy Score equivalent to calorie-burn?,"Not exactly. Calorie burn is calculated based on various factors like your height, weight, gender, and more. The energy score is based on your range of motion and intensity. That said, a feature that can give you an approximate active calorie burn range for your workouts is in the works.",Energy meter and Reports
How is my session rank calculated?,"Your rank is calculated based on your energy score. In At-home classes, you are working out with many other users who are also using the energy meter to measure their efforts at the same time. Just like you, all the other users are also assigned an energy score. Your rank is assigned based on your cumulative score in comparison to that of others - the higher your energy score, the better is your rank.",Energy meter and Reports
Why do I sometimes see an incorrect Energy Score?,"We’re sorry that you’re facing this problem. The energy meter assigns you an energy score based on the effort you put in your workout which is captured with your device’s camera. The accurate score is based on your device’s placement and camera coverage. To fix this, we recommend you ensure the device is placed so that the camera captures your whole body. If you continue to face issues, we request you to write to us at hello@cult.fit and our team will help resolve the issue at the earliest.",Energy meter and Reports
How can I see the report of the class I have attended?,"Your At-home class report is shown right after you complete the class. You can also access each of your class reports from the ""My profile"" tab under fitness page.",Energy meter and Reports
"My At-home class is not loading, what should I do?","We request you to give it a couple of seconds and if the session still does not load, we recommend you close the app, check your internet connection and try again. If you still face issues, p lease reach out to us via the support option in the cult.fit app/website (Home > Profile > Help & Support)",Technical issues
"It is already a few minutes past the session start time, but it still says ‘Session will start soon’. What should I do?","We request you to give it a couple of minutes after the session start-time for the session to begin. If the session still does not begin, we request you to please write to us at hello@cult.fit and our team will help resolve the issue at the earliest.",Technical issues
What kind of DIY sessions and formats are available for cult.fit?,"We have designed sessions for all kinds of fitness enthusiasts, from the beginner to the advanced, ranging from 10 to 40 minutes. Explore and try out our full range of our cult.fit sessions. We have crafted sessions for different goals - from getting lean, to burning belly fat, to building strength and mobility.","At home, DIY cult"
I have never worked out before. From where should I begin?,"If this is your first time exercising, we recommend you to start with the Beginner pack. The guided sessions start at just 15 minutes of workout so you can slowly and steadily build stamina and strength. The sessions in this pack aim at making exercise a part of your routine. The workout format is very simple starting with Warm Ups, progressing to Main Movements, and followed by Cooldowns To begin, Pick the workout  you’re interested in Pick the module Hit Get Pack One session from this pack will be added daily to your to-do list on Today Just follow along and complete a session everyday to get the most out of your cult.fit pack","At home, DIY cult"
I have never meditated before. From where should I begin?,"If this is your first time meditating, we recommend you to start with the Foundation pack which comprises 4 series. The guided sessions start at just 10 minutes of meditation so you can easily sit and meditate. By the end of this series, you will go deeper into your mindfulness practice. To begin, Pick the session series you’re interested in Hit ‘Get Pack’ Pick Just follow along and complete a session every day to get the most out of your meditation pack","At home, DIY cult"
I have meditated before. Which pack should I start with?,"If you have already meditated before, you can always choose to skip the Foundation Series and start any other pack. Try the Intermediate pack, try Sleep Stories to help you sleep well and wake up refreshed. There is a wealth of information, help, and tips that we offer in the Foundation Series. We recommend that you to try them out even if you have meditated before.","At home, DIY cult"
How do I start a DIY meditation pack?,"Ready to embrace the zen life? To start a DIY meditation pack, log into the cure. fit app Tap ‘Fitness’ Tap ‘At Home’ on top of the screen and click on meditate Pick the meditation pack you’re interested in Hit ‘Start’ One session from this pack will get added daily to your to-do list on Today Just follow along ad complete a session every day to get the most out of your meditation pack","At home, DIY cult"
Can I skip sessions in the pack?,Packs have been designed with a certain sequence of instructions. We believe that when one is learning to meditate it's really important that they stick with this sequence so that the experience is meaningful and most effective. Hence skipping of sessions isn’t permitted.,"At home, DIY cult"
Can I change a pack that I have started?,"You can stop a current pack or subscribe to more than one meditation pack at a time. By stopping a pack, you will, however, lose the progress you've made within that particular pack. We recommend that you stick with the pack that you've started. While this may seem daunting, persevering through the pack with patience will be very rewarding.","At home, DIY cult"
Can I go back and re-do the sessions that I have already completed?,"Of course! The more, the merrier. It is one of the best ways to develop a meditation habit. If you would like to repeat a session or two, you can do them directly from your timeline. Any session that you have already completed, is present on your timeline.","At home, DIY cult"
Can I download the sessions on my device?,"The audio sessions are automatically downloaded to your App before you start the session. However, you will not be able to export them outside the App and store it locally on your device. At Home DIY sessions can be accessed only from our app.","At home, DIY cult"
What is the goal of this program?,"This program aims to help every new / old mama start or restart their fitness or exercise routine The program will help you fix your diastasis recti or abdominal separation caused from pregnancy The program will help you strengthen your core and your pelvic floor muscles (incontinence) The program will help you get stronger, gain functionality in your body & last but not least, lose weight. And because weight loss is one of the goals, we have meals plan designed by Ryan Fernando of Qua Nutrition for both lactating and non-lactating moms.",Fit Mama
How long is the program?,"You will choose the workout your body needs. If you need to fix your abdomen separation, you will first work on that. If you need to strengthen your core and pelvic floor (stop leaking urine when you cough or jump), you will first work on that. If you do not have any separation or pelvic floor issues you can start with ‘back to fitness workout. You can repeat each level until you feel confident, don’t see doming from your core, or pressure or bulging in the vagina, or leaking from the vagina or anus. Always work within your threshold, but keep progressing and challenging yourself. So you could take anything between 8 weeks to 12 weeks to do this program or sometimes even more. Self-pace it, but do it CONSISTENTLY.",Fit Mama
Is this program safe while breastfeeding?,"Yes, absolutely safe. Keep in mind that relaxin, a hormone that increases ligament laxity and can make you more prone to injury during this phase. Be very mindful while exercising. Nutrition plays a key role with breastfeeding. We have designed two meal plans by Ryan Fernando of Qua Nutrition for lactating moms, so that it does not affect your milk supply. Drink plenty of water and eat lots of whole foods.",Fit Mama
"I would like to start my fitness journey. What should I do?","To start your fitness journey, you can book a free trial at any Cult center. This will include a complete gym workout session and a body composition analysis.",Free Trials
"What is available for someone interested in personal training?","1 on 1 Training packs help you be regular and remove the hassle of paying for a session every time you want to work out with your trainer.",1 on 1 Training session at Cult
"How do I manage bookings for multiple gym sessions?","You can only book up to 4 classes at a time.",Booking cult classes
"What are the gym timings?","Generally cult centers stay open from 6:00 AM to 12:00 PM and 4:00 PM to 10:00 PM. Some centers might start sessions a little earlier or later.",cult centers
"Are there any online classes available?","Absolutely! The policy only restricts bookings to group classes and does not impact gym check-ins.",No Show policy
"Can I use the gym facilities without a class booking?","You do not have to book any classes on the app. You can simply walk in to access the gym facilities or attend any group class in your chosen center.",Booking A Class
"What is the cancellation policy for class bookings?","We encourage members to cancel their class booking at least 1 hour before the class starts to avoid a No-Show Penalty.",No Show policy
"What kind of support does Cult provide for beginners?","At every cultpass gym, there are cult-certified trainers present on the floor to guide you and assist you with your workouts.",Assistance at the gym
"Is there a limit to how many days in advance I can book a class?","You can only book up to 4 classes at a time.",Booking cult classes
"What does a private profile mean at Cult?","Only users who have made their profile public can see the profiles of other members in their class.",Cult Moments
"How do I find out which centers offer 1 on 1 training?","1 on 1 training is available in select centers of Mumbai, Delhi, and Bangalore. You can check specific locations on our app.",1 on 1 Training session at Cult
"What should I do if I miss a class due to a last-minute emergency?","If your waitlist gets confirmed in the last 90 minutes of class and then you drop out, you will not get a no-show for this class.",Dropout 
"What are the benefits of making my profile public?","Making your profile public allows you to see the profiles of other members in your class, enhancing your network within the Cult community.",Cult Moments
"What happens if I commit multiple no-shows?","Each No-Show after the 3rd No-Show in a month will attract the same extended penalty, i.e., membership deduction of 1 day and a block penalty.",No Show policy
"Can I still attend classes after reaching a no-show limit?","Absolutely! After the two-day booking restriction period, you will regain access to book classes again.",No Show policy
"What are the Cult center facilities like?","Cult centers are equipped with changing rooms, lockers, shower rooms, drinking water, and all necessary workout equipment.",cult centers
"How do I contact Cult for support?","Please reach out to us on the cult.fit app for more details and direct support regarding any inquiries or issues.",Membership Support
"Are there any specific COVID-19 precautions at Cult centers?","We encourage the use of the Aarogya Setu App as per government guidelines, although it is not mandatory for entry into the center.",COVID-19 Precautions
"How can I make the most out of my free gym trial?","During your free trial, you will get a detailed walkthrough of the gym, a free body composition analysis, and a complete gym workout session.",Free Trials
"What is the policy on using Cult Gyms if I reach the three no-show limit?","The policy only restricts bookings to group classes and does not impact gym check-ins, so you can still use Cult Gyms.",No Show policy
